key,field,existing,incoming,existing_source,incoming_source
"('mm', 'moen', 'YG0436BN')",name,"Grab Bar 36"" Hortizal","0.0 Grab Bar 36"" Hortizal https://www.fergusonhome.com/moen-yg0436/s1084795?uid=2709209 YG0436BN 188.88100000000003 Ferg",Product Library | Raw Extract | Raw Records | Product Master | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'LR2352DBN')",name,"T.P. Moen 7-5/8"" x 1"" Grab Bar with Integrated Tissue Holder from the Home Care Collection","0.0 T.P. Moen 7-5/8"" x 1"" Grab Bar with Integrated Tissue Holder from the Home Care Collection https://www.fergusonhome.",Product Library | Raw Extract | Raw Records | Product Master | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-706015')",name,"Kohler Levity 74"" High x 59-5/8"" Wide Bypass Frameless Shower Door with Clear Glass","Bath Shower Enclose 0.0 Kohler Levity 74"" High x 59-5/8"" Wide Bypass Frameless Shower Door with Clear Glass https://www.",Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,Powder Room Sink Kohler Caxton K-20000-0 119.79000000000002 Ferguson 2026-06-02 00:00:00 Final,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-21954')",name,TP Holder,Powder Room Toilet Paper Holder Kohler K-21954-BN 63.305 Ferguson 2026-06-02 00:00:00 Final,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-T99763')",name,Tub Shower Trim,Bathroom Plumbing  0.0 Tub Shower Trim  https://www.fergusonhome.com/kohler-k-t99763-4g/s1682561?uid=4326090 K-T99763-4G,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-11748')",name,Shower Valve,matte Black  0.0 Shower Valve  https://www.fergusonhome.com/kohler-k-11748-ks/s558217?uid=1356175  K-11748-KS-NA 227.832,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-26109')",name,Bath Tub right Drain,0.0 Bath Tub right Drain  https://www.fergusonhome.com/kohler-k-26109-ra/s1699736?uid=4011572 K-26109-RA-0 526.900000000,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-30811')",name,Toilet Kohler Santa Rosa,0.0 Toilet Kohler Santa Rosa  https://www.fergusonhome.com/kohler-k-30811/s1886088?uid=4458444 K-30811-0 512.897 Ferguso,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-30919')",name,Santa Rosa Left Lever,0.0 Santa Rosa Left Lever  https://www.fergusonhome.com/kohler-k-30919-l/s1919646?uid=4534826 K-30919-L-BL 69.696 Fergus,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-37889')",name,(1) Faucet & Drain Kit,0.0 (1) Faucet & Drain Kit   https://www.fergusonhome.com/kohler-k-37889-4/s2068233?uid=5034096 K-37889-4-BL 481.9430000,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-26634')",name,"24"" Towel Bar","0.0  24"" Towel Bar https://www.fergusonhome.com/kohler-k-26634/s1715840?uid=4056148 K-26634-BL 135.65200000000002 Fergus",Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-26636')",name,Robe Hooks,0.0  Robe Hooks  https://www.fergusonhome.com/kohler-k-26636/s1714790?uid=4056139 K-26636-BL 96.91 Ferguson  2026-04-10,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-23292')",name,Toilet Paper Holder,0.0  Toilet Paper Holder  https://www.fergusonhome.com/kohler-k-23292/s1716146?uid=4161662 K-23292-BL 86.32800000000002,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-23295')",name,"24""Grab Bar","24""Grab Bar  https://www.fergusonhome.com/kohler-k-23295/s1720990?uid=4118429 K-23295-BL 145.145 Ferguson  2026-04-10 00",Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'M7260SRS')",name,Faucet - Moen,Faucet - Moen  https://www.fergusonhome.com/moen-7260/s1783606?uid=4244185 M7260SRS  400 426.789 Ferguson 2026-04-02 00:,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-22020')",name,(2) Faucet,(2) Faucet  https://www.fergusonhome.com/kohler-k-22022-4/s1515499?uid=3554911 K-22020-4-CP 800 493.724 Fergusson  2026-,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-TS74042')",name,Shower Fixures / Trim,Shower Fixures / Trim https://www.fergusonhome.com/kohler-k-ts74042-4/s1657688?uid=3935114 K-TS74042-4-CP 61.072 Ferguso,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-8304')",name,Shower Fixures / Valve,Shower Fixures / Valve  https://www.fergusonhome.com/kohler-k-8304-ks/s1251522?uid=2992369 K-8304-KS-NA 126.962 Ferguson,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-76464')",name,"Shower Fixture / 8"" Rain Head","Shower Fixture / 8"" Rain Head  https://www.fergusonhome.com/kohler-k-76464-y/s1882332?uid=4453295 K-76464-Y-CP  165.8140",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-26322')",name,"Shower Fixture 15""  / Arm MODEL: K-26322-CP","Shower Fixture 15""  / Arm MODEL: K-26322-CP https://www.fergusonhome.com/kohler-k-26322/s1816373?uid=4302982 K-26322-CP",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-99242')",name,Shoer - Awaken Handshower Kit,Shoer - Awaken Handshower Kit  https://www.fergusonhome.com/kohler-k-99242-y/s1888445?uid=4466346 K-99242-Y-CP  199.903,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-98350')",name,Shower Elbow  - Awaken,Shower Elbow  - Awaken https://www.fergusonhome.com/kohler-k-98350/s946764?uid=2359596 K-98350-CP  45.298 Ferguson  2026,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-9660')",name,Shower Vacumn,Shower Vacumn  https://www.fergusonhome.com/kohler-k-9660/s564929?uid=176525 K-9660-CP  52.25 Ferguson  2026-04-02 00:00,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-T97091')",name,Shower Diverter Trim,Shower Diverter Trim  https://www.fergusonhome.com/kohler-k-t97091-4/s1649335?uid=4013737 K-T97091-4-CP 141.493 Ferguson,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-728')",name,Shower Diverter Valve,Shower Diverter Valve  https://www.fergusonhome.com/kohler-k-728-k/s563836?uid=1253173 K-728-K-NA 204.17100000000002 Fer,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'MR8718D3GCH')",name,"Grab Bar 18"" Vertical Moen Home Care","Grab Bar 18"" Vertical Moen Home Care  https://www.fergusonhome.com/moen-r8718d3g/s661980?uid=1899242 MR8718D3GCH 59.5430",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-31589')",name,Toilet  Bowl - Round,Toilet  Bowl - Round  https://www.fergusonhome.com/kohler-k-31589/s1764154?uid=4181546 K-31589-0 500 231 Ferguson 2026-0,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-2210')",name,(2) Kohler Caxton Oval Undermount Bathroom Sink with Overflow,Sink  https://www.fergusonhome.com/kohler-k-2210/s559561?uid=220805 K-2210-0 300 93.192 Ferguson  2026-04-02 00:00:00 0.,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-22022')",name,Faucet-Kohler Tempered 1.2 GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Faucet  https://www.fergusonhome.com/kohler-k-22022-4/s1515499?uid=3554911 K-22022-4-CP 400 246.862 Ferguson  2026-04-02,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'delta', 'B932')",name,Delta Lorelai 32” Workstation Kitchen Sink Undermount 16 Gauge Stainless Steel Single Bowl with WorkFlow Ledge and Accessories,Delta Lorelai 32” Workstation Kitchen Sink Undermount 16 Gauge Stainless Steel Single Bowl with WorkFlow Ledge and Acces,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'delta', 'DWQ4001002')",name,Delta 1.5 GPM Reverse Osmosis Contemporary Beverage Faucet - Less Filter,ADD-ON  Delta 1.5 GPM Reverse Osmosis Contemporary Beverage Faucet - Less Filter https://www.fergusonhome.com/delta-dwq4,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'T2133')",name,"Shower Head, Trim, &  Tub Spout","Shower Head, Trim, &  Tub Spout  https://www.fergusonhome.com/moen-t2133/s720647?uid=212053 T2133 1500 91.78399999999999",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-31620')",name,Toilet - elongated Chair Height,Toilet - elongated Chair Height  https://www.fergusonhome.com/kohler-k-31620/s1808775?uid=4283423 K-31620-0 425.084 Ferg,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-26801')",name,Toilet Seat -,Toilet Seat -  https://www.fergusonhome.com/kohler-k-26801/s1921483?uid=4539315 K-26801-0 60.5 Ferguson  0.0,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'R8718D3GCH')",name,"Grab Bar 18"" Moen","Grab Bar 18"" Moen  https://www.fergusonhome.com/moen-r8718d3g/s661980?uid=1899242 R8718D3GCH 200 59.543000000000006 Ferg",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'lifeproof', 'I228133LX')",name,EnSuite Bath  LVP L.P. Shallowford Oak 41 SQ FT  https://www.homedepot.com/p/Lifeproof-Shallowford-Oak-22-MIL-x-8-7-in-W,Flooring LifeProof Shallowford Oak LVP Flooring I228133LX $900.00 $847.50 1072.8 Home Depot 2026-06-09 00:00:00 250 sq f,Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-22022')",name,Faucet-Kohler Tempered 1.2 GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Plumbing  Faucet -  https://www.fergusonhome.com/kohler-k-22022-4/s1515499?uid=3567943 K-22022-4 500 364.199 333.278 Fer,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-21956')",name,Hook for Towel,Hook for Towel  https://www.fergusonhome.com/kohler-k-21956/s1517170?uid=3560507 K-21956-BN  34.507000000000005 31.713 F,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'delta', 'R10000')",name,"Delta Universal Mixing Rough-In Valve with Service Stops, 1/2"" NPT Male thread with 1/2"" C.W.T Female Sweat - Shower Only, No Tub Outlet","Delta Universal Mixing Rough-In Valve with Service Stops, 1/2"" NPT Male thread with 1/2"" C.W.T Female Sweat - Shower Onl",Product Master | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'delta', 'T11800')",name,"Delta Innovations Three Function Diverter Valve Trim Less Rough-In Valve - Two Independent Positions, One Shared Position","Delta Innovations Three Function Diverter Valve Trim Less Rough-In Valve - Two Independent Positions, One Shared Positio",Product Master | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'delta', 'T17238')",name,Delta Lahara Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta Lahara Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-I,Product Master | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'lifeproof', 'SI2103090L')",name,LVT Flooring (5),Hall Bath LVT LVT Flooring (5)  LifeProof SI2103090L 300 272.536 344.658 Home Depot Mountain Brook Marble,John Daye 39938-CJC | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K30811')",name,Toilet - Santa Rosa One Piece,Toilet - Santa Rosa One Piece https://www.fergusonhome.com/kohler-k-30811/s1886088?uid=4458444 K30811-0 600 576.389 512.,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'MT2902NH')",name,Shower Trim - Chrome,Basement Bath  Shower Trim - Chrome  https://www.fergusonhome.com/moen-t2902nh/s1434096?uid=3372980 MT2902NH 50 48.719 F,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'M2570')",name,Shower Valve - posi temp,Shower Valve - posi temp  https://www.fergusonhome.com/moen-2570/s136731?uid=2553010 M2570 154 145.695 Ferguson  2026-06,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'S122BL')",name,Shower Arm & Flange Moen,Shower Arm & Flange Moen  https://www.fergusonhome.com/moen-s122/s684052?uid=3854722 S122BL 99 101.002 Ferguson  2026-05,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'T2691BL')",name,Shower Trim Moen,Shower Trim Moen https://www.fergusonhome.com/moen-t2691/s763148?uid=4642690 T2691BL 511 286.22 Ferguson  2026-05-08 00:,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-706015')",name,"Kohler Levity 74"" High x 59-5/8"" Wide Bypass Frameless Shower Door with Clear Glass",Shower Door -  https://www.homedepot.com/p/KOHLER-Levity-56-60-in-W-x-74-in-H-Sliding-Frameless-Shower-Door-in-Matte-Bla,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'TV6905BL')",name,"Faucet 8""","Faucet 8""  https://shop.moen.com/products/tv6905?variant=52521614836022 TV6905BL 500 560 644.523 Fergerson 2026-05-08 00",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-2211')",name,Sink,Sink https://www.kohler.com/en/products/bathroom-sinks/shop-bathroom-sinks/caxton-21-1-4-oval-undermount-bathroom-sink-2,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-R27241')",name,"Grab Bars 16""  Vertical at Entrance of Shower","Grab Bars 16""  Vertical at Entrance of Shower  https://www.homedepot.com/p/KOHLER-Rubicon-16-in-Grab-Bar-in-Matte-Black-",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-R27242')",name,"Grab Bar 24"" Hortizial undeer window","Grab Bar 24"" Hortizial undeer window  https://www.homedepot.com/p/KOHLER-Rubicon-24-in-Grab-Bar-in-Matte-Black-K-R27242-",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K22972')",name,Faucet -Kohler Crue 1.5 GPM Single Hole Pull Down Kitchen Faucet - Includes Escutcheon,Faucet -Kohler Crue 1.5 GPM Single Hole Pull Down Kitchen Faucet - Includes Escutcheon https://www.fergusonhome.com/kohl,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-27383')",name,"(2) 18"" Kohler Towel Bar","(2) 18"" Kohler Towel Bar  https://www.amazon.com/dp/B0BHTTQC9G?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1 K-27383-BN 88 87.3",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-35953')",name,Faucet Wide Spread or Single Match vanity top,Faucet Wide Spread or Single Match vanity top  https://www.fergusonhome.com/kohler-k-35953-4/s1979782?uid=4852964&search,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-31588')",name,Toilet Bowl,Toilet Bowl  https://www.fergusonhome.com/kohler-k-31588/s1728651?uid=4091631 K-31588-0 158.899 Ferguson  2026-04-22 00:,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-27118')",name,Shower Set-up,Shower Set-up  https://www.fergusonhome.com/kohler-k-27118-g/s1865987?uid=4410726 K-27118-G-BL 1028.21 1038.532 Ferguson,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-TS27043')",name,Shower Trim,Shower Trim  https://www.fergusonhome.com/kohler-k-ts27043-4/s1854449?uid=4388935 K-TS27043-4-BL 443.825 407.308 Ferguso,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'R31062')",name,(3) Hooks two for bath - one for hand towel,(3) Hooks two for bath - one for hand towel  https://www.homedepot.com/p/KOHLER-Sundae-J-Shaped-Robe-Hook-in-Matte-Black,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-35934')",name,TP Holder,TP Holder  https://www.fergusonhome.com/kohler-k-35934/s2026376?uid=4853029 K-35934-BL 31.812 30.910000000000004 Ferguso,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K27118')",name,Shower Head - Combo Retro Fit,Shower Head - Combo Retro Fit  https://www.fergusonhome.com/kohler-k-27118-g/s1865987?uid=4410726 K27118-G-BL 1000 1029,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'KTS27043')",name,Shower Trim,Shower Trim  https://www.fergusonhome.com/kohler-k-ts27043-4/s1854449?uid=4388935 KTS27043-4-BL 405 407.308 Ferguson  20,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K8304')",name,Valve,Valve  https://www.fergusonhome.com/kohler-k-8304-ks/s1251522?uid=2992369 K8304-KS-NA 116 126.016 Ferguson  2026-04-01 0,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K28563')",name,Tub Spout,Tub Spout  https://www.fergusonhome.com/kohler-k-28563/s1733720?uid=4101127 K28563-BL 68 68.156 Ferguson  2026-04-01 00:,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K2209')",name,Sink,Sink  https://www.fergusonhome.com/kohler-k-2209/s560373?uid=220794 K2209-0 100 99.01100000000001 Ferguson  2026-04-01 0,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K37891')",name,Faucet with Drain,Faucet with Drain  https://www.fergusonhome.com/kohler-k-37891-4/s2060938?uid=5032946 K37891-4BL 280 276.463 Ferguson  2,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K31589')",name,Toilet Cimarron Bowl,Toilet Cimarron Bowl https://www.fergusonhome.com/kohler-k-31640-dry/s2053585?uid=4930731 K31589-0 449 231.4289999999999,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K26802')",name,Toilet Seat,Toilet Seat  https://www.fergusonhome.com/kohler-k-26802/s1921485?uid=4539318 K26802-0 55.516999999999996 Ferguson  2026,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'R31058')",name,"Kohler 24"" Sundae Towel Bar","Kohler 24"" Sundae Towel Bar  https://www.homedepot.com/p/KOHLER-Sundae-24-in-Wall-Mounted-Towel-Bar-in-Matte-Black-R3105",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'R31059')",name,"Kohler Sundae 18"" Towel bar","Kohler Sundae 18"" Towel bar https://www.homedepot.com/p/KOHLER-Sundae-18-in-Wall-Mounted-Towel-Bar-in-Matte-Black-R31059",Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'R31060')",name,Kohler Sundae Toilet Paper Holder,Kohler Sundae Toilet Paper Holder  https://www.homedepot.com/p/KOHLER-Sundae-Toilet-Paper-Holder-in-Matte-Black-R31060-B,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-TS27392')",name,"Shower Head, Trim & Arm","0.0 Shower Head, Trim & Arm  https://www.fergusonhome.com/kohler-k-ts27392-4g/s1866401?uid=4428129 K-TS27392-4G-BN 151.6",Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-27388')",name,(2) Faucet & Drain Kit  Simplice,0.0 (2) Faucet & Drain Kit  Simplice  https://www.fergusonhome.com/kohler-k-27388-4/s1873551?uid=4428973 K-27388-4-BN 52,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-R27240')",name,Grab Bar,0.0 Grab Bar  https://www.homedepot.com/p/KOHLER-Rubicon-9-in-Grab-Bar-in-Vibrant-Brushed-Nickel-K-R27240-BN/312230844 K,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-TS23501')",name,Shower  Handle Trim,Bathroom Plumbing  0.0 Shower  Handle Trim  https://www.fergusonhome.com/kohler-k-ts23501-4/s1756423?uid=4157321 K-TS235,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-T23509')",name,Shower Diverter,0.0 Shower Diverter  https://www.fergusonhome.com/kohler-k-t23509-4/s1742706?uid=4148210 K-T23509-4-CP 165.726 Ferguson,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-737')",name,Shower Diverter Valve,Chrome 0.0 Shower Diverter Valve  https://www.fergusonhome.com/kohler-k-8304-ks/s1251522?uid=2992369 K-737-K-NA 228.7890,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'kohler', 'K-99007')",name,"Lighted Medicine Cabinets - Over Sinks (2) 24""x30""","False Lighted Medicine Cabinets - Over Sinks (2) 24""x30""  https://www.fergusonhome.com/kohler-k-99007-tlc/s1533945?uid=3",Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'UT36111ORB')",name,Shower Double Handle Trim,False Shower Double Handle Trim  https://www.fergusonhome.com/moen-ut3611/s1740482?uid=4114270 UT36111ORB 404.745 Fergus,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'U232CIS')",name,Shower Valve,Bathroom Plumbing  False Shower Valve  https://www.fergusonhome.com/moen-u232cis/s1736897?uid=4123792 U232CIS 200.915000,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'MS6365EPORB')",name,Shower Head,False Shower Head  https://www.fergusonhome.com/moen-s6365ep/s763030?uid=1958815&searchId=5gAx2sQ1dd MS6365EPORB 338.569,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'M164745ORB')",name,Shower Arm Flange,False Shower Arm Flange  https://www.fergusonhome.com/moen-164745/s849728?uid=2175845 M164745ORB 19.657 Ferguson 2026-02,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'M3667EPORB')",name,Shower Handheld w/Slide Bar,False Shower Handheld w/Slide Bar  https://www.fergusonhome.com/moen-3667ep/s870602?uid=2223440 M3667EPORB 535.502 Fergu,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
"('mm', 'moen', 'A725ORB')",name,Shower Wall Elbow Supply,False Shower Wall Elbow Supply  https://www.fergusonhome.com/moen-a725/s415773?uid=1030244 A725ORB 72.776 Ferguson 2026-,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,normalized_products_db_v2.xlsx::Sheet1
